OBJECTID,NAME,Effective,Revised,District,District_Name,TOOLTIP,NLA_URL
1,Gilbert Cedillo,2013-07-01T00:00:00.000Z,,1,1 - Gilbert Cedillo,Councilmember: Gilbert Cedillo\nDistrict: 1,"http://cd1.lacity.org/?nla_win=p,75,75"
2,Paul Krekorian,2010-01-05T00:00:00.000Z,,2,2 - Paul Krekorian,Councilmember: Paul Krekorian\nDistrict: 2,"http://cd2.lacity.org/?nla_win=p,75,75"
3,Bob Blumenfield,2013-07-01T00:00:00.000Z,,3,3 - Bob Blumenfield,Councilmember: Bob Blumenfield\nDistrict: 3,"http://cd3.lacity.org/?nla_win=p,75,75"
4,David Ryu,2015-07-01T00:00:00.000Z,,4,4 - David Ryu,Councilmember: David Ryu\nDistrict: 4,"http://cd4.lacity.org/?nla_win=p,75,75"
5,Paul Koretz,2009-07-01T00:00:00.000Z,,5,5 - Paul Koretz,Councilmember: Paul Koretz\nDistrict: 5,"http://cd5.lacity.org/?nla_win=p,75,75"
6,Nury Martinez,2013-08-09T00:00:00.000Z,,6,6 - Nury Martinez,Councilmember: Nury Martinez\nDistrict: 6,"http://cd6.lacity.org/?nla_win=p,75,75"
7,Monica Rodriguez,2017-07-01T00:00:00.000Z,,7,7 - Monica Rodriguez,Councilmember: Monica Rodriguez\nDistrict: 7,"http://cd7.lacity.org/?nla_win=p,75,75"
8,Marqueece Harris-Dawson,2015-07-01T00:00:00.000Z,,8,8 - Marqueece Harris-Dawson,Councilmember: Marqueece Harris-Dawson\nDistrict: 8,"http://cd8.lacity.org/?nla_win=p,75,75"
9,Curren D. Price Jr.,2013-07-01T00:00:00.000Z,,9,9 - Curren D. Price Jr.,Councilmember: Curren D. Price Jr.\nDistrict: 9,"http://cd9.lacity.org/?nla_win=p,75,75"
10,Herb J. Wesson Jr.,2005-07-01T00:00:00.000Z,,10,10 - Herb J. Wesson Jr.,Councilmember: Herb J. Wesson Jr.\nDistrict: 10,"http://cd10.lacity.org/?nla_win=p,75,75"
11,Mike Bonin,2013-07-01T00:00:00.000Z,,11,11 - Mike Bonin,Councilmember: Mike Bonin\nDistrict: 11,"http://cd11.lacity.org/?nla_win=p,75,75"
12,Mitchell Englander,2011-07-01T00:00:00.000Z,,12,12 - Mitchell Englander,Councilmember: Mitchell Englander\nDistrict: 12,"http://cd12.lacity.org/?nla_win=p,75,75"
13,Mitch O'Farrell,2013-07-01T00:00:00.000Z,,13,13 - Mitch O'Farrell,Councilmember: Mitch O'Farrell\nDistrict: 13,"http://cd13.lacity.org/?nla_win=p,75,75"
14,Jose Huizar,2005-11-08T00:00:00.000Z,,14,14 - Jose Huizar,Councilmember: Jose Huizar\nDistrict: 14,"http://cd14.lacity.org/?nla_win=p,75,75"
15,Joe Buscaino,2012-01-31T00:00:00.000Z,,15,15 - Joe Buscaino,Councilmember: Joe Buscaino\nDistrict: 15,"http://cd15.lacity.org/?nla_win=p,75,75"
