cbsacode,metrodivisioncode,csacode,cbsatitle,metropolitanmicropolitanstatis,metropolitandivisiontitle,csatitle,countycountyequivalent,statename,fipsstatecode,fipscountycode,centraloutlyingcounty
33860,,,"Montgomery, AL",Metropolitan Statistical Area,,,Autauga County,Alabama,1,1,Central
19300,,380,"Daphne-Fairhope-Foley, AL",Metropolitan Statistical Area,,"Mobile-Daphne-Fairhope, AL",Baldwin County,Alabama,1,3,Central
13820,,142,"Birmingham-Hoover, AL",Metropolitan Statistical Area,,"Birmingham-Hoover-Talladega, AL",Bibb County,Alabama,1,7,Outlying
13820,,142,"Birmingham-Hoover, AL",Metropolitan Statistical Area,,"Birmingham-Hoover-Talladega, AL",Blount County,Alabama,1,9,Outlying
11500,,,"Anniston-Oxford-Jacksonville, AL",Metropolitan Statistical Area,,,Calhoun County,Alabama,1,15,Central
46740,,194,"Valley, AL",Micropolitan Statistical Area,,"Columbus-Auburn-Opelika, GA-AL",Chambers County,Alabama,1,17,Central
13820,,142,"Birmingham-Hoover, AL",Metropolitan Statistical Area,,"Birmingham-Hoover-Talladega, AL",Chilton County,Alabama,1,21,Outlying
21460,,222,"Enterprise, AL",Micropolitan Statistical Area,,"Dothan-Enterprise-Ozark, AL",Coffee County,Alabama,1,31,Central
22520,,,"Florence-Muscle Shoals, AL",Metropolitan Statistical Area,,,Colbert County,Alabama,1,33,Central
45180,,142,"Talladega-Sylacauga, AL",Micropolitan Statistical Area,,"Birmingham-Hoover-Talladega, AL",Coosa County,Alabama,1,37,Outlying
18980,,142,"Cullman, AL",Micropolitan Statistical Area,,"Birmingham-Hoover-Talladega, AL",Cullman County,Alabama,1,43,Central
37120,,222,"Ozark, AL",Micropolitan Statistical Area,,"Dothan-Enterprise-Ozark, AL",Dale County,Alabama,1,45,Central
42820,,,"Selma, AL",Micropolitan Statistical Area,,,Dallas County,Alabama,1,47,Central
33860,,,"Montgomery, AL",Metropolitan Statistical Area,,,Elmore County,Alabama,1,51,Central
23460,,,"Gadsden, AL",Metropolitan Statistical Area,,,Etowah County,Alabama,1,55,Central
20020,,222,"Dothan, AL",Metropolitan Statistical Area,,"Dothan-Enterprise-Ozark, AL",Geneva County,Alabama,1,61,Outlying
46220,,,"Tuscaloosa, AL",Metropolitan Statistical Area,,,Hale County,Alabama,1,65,Outlying
20020,,222,"Dothan, AL",Metropolitan Statistical Area,,"Dothan-Enterprise-Ozark, AL",Henry County,Alabama,1,67,Outlying
20020,,222,"Dothan, AL",Metropolitan Statistical Area,,"Dothan-Enterprise-Ozark, AL",Houston County,Alabama,1,69,Central
42460,,174,"Scottsboro, AL",Micropolitan Statistical Area,,"Chattanooga-Cleveland-Dalton, TN-GA-AL",Jackson County,Alabama,1,71,Central
13820,,142,"Birmingham-Hoover, AL",Metropolitan Statistical Area,,"Birmingham-Hoover-Talladega, AL",Jefferson County,Alabama,1,73,Central
22520,,,"Florence-Muscle Shoals, AL",Metropolitan Statistical Area,,,Lauderdale County,Alabama,1,77,Central
19460,,290,"Decatur, AL",Metropolitan Statistical Area,,"Huntsville-Decatur-Albertville, AL",Lawrence County,Alabama,1,79,Outlying
12220,,194,"Auburn-Opelika, AL",Metropolitan Statistical Area,,"Columbus-Auburn-Opelika, GA-AL",Lee County,Alabama,1,81,Central
26620,,290,"Huntsville, AL",Metropolitan Statistical Area,,"Huntsville-Decatur-Albertville, AL",Limestone County,Alabama,1,83,Outlying
33860,,,"Montgomery, AL",Metropolitan Statistical Area,,,Lowndes County,Alabama,1,85,Outlying
26620,,290,"Huntsville, AL",Metropolitan Statistical Area,,"Huntsville-Decatur-Albertville, AL",Madison County,Alabama,1,89,Central
10700,,290,"Albertville, AL",Micropolitan Statistical Area,,"Huntsville-Decatur-Albertville, AL",Marshall County,Alabama,1,95,Central
33660,,380,"Mobile, AL",Metropolitan Statistical Area,,"Mobile-Daphne-Fairhope, AL",Mobile County,Alabama,1,97,Central
33860,,,"Montgomery, AL",Metropolitan Statistical Area,,,Montgomery County,Alabama,1,101,Central
19460,,290,"Decatur, AL",Metropolitan Statistical Area,,"Huntsville-Decatur-Albertville, AL",Morgan County,Alabama,1,103,Central
46220,,,"Tuscaloosa, AL",Metropolitan Statistical Area,,,Pickens County,Alabama,1,107,Outlying
45980,,,"Troy, AL",Micropolitan Statistical Area,,,Pike County,Alabama,1,109,Central
17980,,194,"Columbus, GA-AL",Metropolitan Statistical Area,,"Columbus-Auburn-Opelika, GA-AL",Russell County,Alabama,1,113,Central
13820,,142,"Birmingham-Hoover, AL",Metropolitan Statistical Area,,"Birmingham-Hoover-Talladega, AL",St. Clair County,Alabama,1,115,Outlying
13820,,142,"Birmingham-Hoover, AL",Metropolitan Statistical Area,,"Birmingham-Hoover-Talladega, AL",Shelby County,Alabama,1,117,Central
45180,,142,"Talladega-Sylacauga, AL",Micropolitan Statistical Area,,"Birmingham-Hoover-Talladega, AL",Talladega County,Alabama,1,121,Central
46220,,,"Tuscaloosa, AL",Metropolitan Statistical Area,,,Tuscaloosa County,Alabama,1,125,Central
13820,,142,"Birmingham-Hoover, AL",Metropolitan Statistical Area,,"Birmingham-Hoover-Talladega, AL",Walker County,Alabama,1,127,Outlying
11260,,,"Anchorage, AK",Metropolitan Statistical Area,,,Anchorage Municipality,Alaska,2,20,Central
21820,,,"Fairbanks, AK",Metropolitan Statistical Area,,,Fairbanks North Star Borough,Alaska,2,90,Central
27940,,,"Juneau, AK",Micropolitan Statistical Area,,,Juneau City and Borough,Alaska,2,110,Central
28540,,,"Ketchikan, AK",Micropolitan Statistical Area,,,Ketchikan Gateway Borough,Alaska,2,130,Central
11260,,,"Anchorage, AK",Metropolitan Statistical Area,,,Matanuska-Susitna Borough,Alaska,2,170,Outlying
43420,,,"Sierra Vista-Douglas, AZ",Metropolitan Statistical Area,,,Cochise County,Arizona,4,3,Central
22380,,,"Flagstaff, AZ",Metropolitan Statistical Area,,,Coconino County,Arizona,4,5,Central
37740,,,"Payson, AZ",Micropolitan Statistical Area,,,Gila County,Arizona,4,7,Central
40940,,,"Safford, AZ",Micropolitan Statistical Area,,,Graham County,Arizona,4,9,Central
38060,,,"Phoenix-Mesa-Scottsdale, AZ",Metropolitan Statistical Area,,,Maricopa County,Arizona,4,13,Central
29420,,332,"Lake Havasu City-Kingman, AZ",Metropolitan Statistical Area,,"Las Vegas-Henderson, NV-AZ",Mohave County,Arizona,4,15,Central
43320,,,"Show Low, AZ",Micropolitan Statistical Area,,,Navajo County,Arizona,4,17,Central
46060,,536,"Tucson, AZ",Metropolitan Statistical Area,,"Tucson-Nogales, AZ",Pima County,Arizona,4,19,Central
38060,,,"Phoenix-Mesa-Scottsdale, AZ",Metropolitan Statistical Area,,,Pinal County,Arizona,4,21,Central
35700,,536,"Nogales, AZ",Micropolitan Statistical Area,,"Tucson-Nogales, AZ",Santa Cruz County,Arizona,4,23,Central
39140,,,"Prescott, AZ",Metropolitan Statistical Area,,,Yavapai County,Arizona,4,25,Central
49740,,,"Yuma, AZ",Metropolitan Statistical Area,,,Yuma County,Arizona,4,27,Central
34260,,,"Mountain Home, AR",Micropolitan Statistical Area,,,Baxter County,Arkansas,5,5,Central
22220,,,"Fayetteville-Springdale-Rogers, AR-MO",Metropolitan Statistical Area,,,Benton County,Arkansas,5,7,Central
25460,,,"Harrison, AR",Micropolitan Statistical Area,,,Boone County,Arkansas,5,9,Central
15780,,,"Camden, AR",Micropolitan Statistical Area,,,Calhoun County,Arkansas,5,13,Outlying
11660,,,"Arkadelphia, AR",Micropolitan Statistical Area,,,Clark County,Arkansas,5,19,Central
38220,,340,"Pine Bluff, AR",Metropolitan Statistical Area,,"Little Rock-North Little Rock, AR",Cleveland County,Arkansas,5,25,Outlying
31620,,,"Magnolia, AR",Micropolitan Statistical Area,,,Columbia County,Arkansas,5,27,Central
27860,,308,"Jonesboro, AR",Metropolitan Statistical Area,,"Jonesboro-Paragould, AR",Craighead County,Arkansas,5,31,Central
22900,,,"Fort Smith, AR-OK",Metropolitan Statistical Area,,,Crawford County,Arkansas,5,33,Central
32820,,368,"Memphis, TN-MS-AR",Metropolitan Statistical Area,,"Memphis-Forrest City, TN-MS-AR",Crittenden County,Arkansas,5,35,Central
30780,,340,"Little Rock-North Little Rock-Conway, AR",Metropolitan Statistical Area,,"Little Rock-North Little Rock, AR",Faulkner County,Arkansas,5,45,Outlying
26300,,284,"Hot Springs, AR",Metropolitan Statistical Area,,"Hot Springs-Malvern, AR",Garland County,Arkansas,5,51,Central
30780,,340,"Little Rock-North Little Rock-Conway, AR",Metropolitan Statistical Area,,"Little Rock-North Little Rock, AR",Grant County,Arkansas,5,53,Outlying
