cbsacode,cbsatitle,metro_micro,county,state,county_fips,fips_state_code,fips_county_code,county_pop,msa_pop
10100,"Aberdeen, SD",Micropolitan Statistical Area,Brown County,South Dakota,46013,46,013,38839,42668
10100,"Aberdeen, SD",Micropolitan Statistical Area,Edmunds County,South Dakota,46045,46,045,3829,42668
10140,"Aberdeen, WA",Micropolitan Statistical Area,Grays Harbor County,Washington,53027,53,027,75061,75061
10180,"Abilene, TX",Metropolitan Statistical Area,Callahan County,Texas,48059,48,059,13943,172060
10180,"Abilene, TX",Metropolitan Statistical Area,Jones County,Texas,48253,48,253,20083,172060
10180,"Abilene, TX",Metropolitan Statistical Area,Taylor County,Texas,48441,48,441,138034,172060
10220,"Ada, OK",Micropolitan Statistical Area,Pontotoc County,Oklahoma,40123,40,123,38284,38284
10260,"Adjuntas, PR",Micropolitan Statistical Area,Adjuntas Municipio,Puerto Rico,72001,72,001,,
10300,"Adrian, MI",Micropolitan Statistical Area,Lenawee County,Michigan,26091,26,091,98451,98451
10380,"Aguadilla-Isabela, PR",Metropolitan Statistical Area,Aguada Municipio,Puerto Rico,72003,72,003,,
10380,"Aguadilla-Isabela, PR",Metropolitan Statistical Area,Aguadilla Municipio,Puerto Rico,72005,72,005,,
10380,"Aguadilla-Isabela, PR",Metropolitan Statistical Area,Añasco Municipio,Puerto Rico,72011,72,011,,
10380,"Aguadilla-Isabela, PR",Metropolitan Statistical Area,Isabela Municipio,Puerto Rico,72071,72,071,,
10380,"Aguadilla-Isabela, PR",Metropolitan Statistical Area,Lares Municipio,Puerto Rico,72081,72,081,,
10380,"Aguadilla-Isabela, PR",Metropolitan Statistical Area,Moca Municipio,Puerto Rico,72099,72,099,,
10380,"Aguadilla-Isabela, PR",Metropolitan Statistical Area,Rincón Municipio,Puerto Rico,72117,72,117,,
10380,"Aguadilla-Isabela, PR",Metropolitan Statistical Area,San Sebastián Municipio,Puerto Rico,72131,72,131,,
10380,"Aguadilla-Isabela, PR",Metropolitan Statistical Area,Utuado Municipio,Puerto Rico,72141,72,141,,
10420,"Akron, OH",Metropolitan Statistical Area,Portage County,Ohio,39133,39,133,162466,703479
10420,"Akron, OH",Metropolitan Statistical Area,Summit County,Ohio,39153,39,153,541013,703479
10460,"Alamogordo, NM",Micropolitan Statistical Area,Otero County,New Mexico,35035,35,035,67490,67490
10500,"Albany, GA",Metropolitan Statistical Area,Baker County,Georgia,13007,13,007,3038,149764
10500,"Albany, GA",Metropolitan Statistical Area,Dougherty County,Georgia,13095,13,095,87956,149764
10500,"Albany, GA",Metropolitan Statistical Area,Lee County,Georgia,13177,13,177,29992,149764
10500,"Albany, GA",Metropolitan Statistical Area,Terrell County,Georgia,13273,13,273,8531,149764
10500,"Albany, GA",Metropolitan Statistical Area,Worth County,Georgia,13321,13,321,20247,149764
10540,"Albany, OR",Metropolitan Statistical Area,Linn County,Oregon,41043,41,043,129749,129749
10580,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,Albany County,New York,36001,36,001,305506,880381
10580,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,Rensselaer County,New York,36083,36,083,158714,880381
10580,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,Saratoga County,New York,36091,36,091,229863,880381
10580,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,Schenectady County,New York,36093,36,093,155299,880381
10580,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,Schoharie County,New York,36095,36,095,30999,880381
10620,"Albemarle, NC",Micropolitan Statistical Area,Stanly County,North Carolina,37167,37,167,62806,62806
10660,"Albert Lea, MN",Micropolitan Statistical Area,Freeborn County,Minnesota,27047,27,047,30281,30281
10700,"Albertville, AL",Micropolitan Statistical Area,Marshall County,Alabama,01095,01,095,96774,96774
10740,"Albuquerque, NM",Metropolitan Statistical Area,Bernalillo County,New Mexico,35001,35,001,679121,918018
10740,"Albuquerque, NM",Metropolitan Statistical Area,Sandoval County,New Mexico,35043,35,043,146748,918018
10740,"Albuquerque, NM",Metropolitan Statistical Area,Torrance County,New Mexico,35057,35,057,15461,918018
10740,"Albuquerque, NM",Metropolitan Statistical Area,Valencia County,New Mexico,35061,35,061,76688,918018
10780,"Alexandria, LA",Metropolitan Statistical Area,Grant Parish,Louisiana,22043,22,043,22389,152037
10780,"Alexandria, LA",Metropolitan Statistical Area,Rapides Parish,Louisiana,22079,22,079,129648,152037
10820,"Alexandria, MN",Micropolitan Statistical Area,Douglas County,Minnesota,27041,27,041,38141,38141
10860,"Alice, TX",Micropolitan Statistical Area,Jim Wells County,Texas,48249,48,249,40482,40482
10900,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,Warren County,New Jersey,34041,34,041,105267,844052
10900,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,Carbon County,Pennsylvania,42025,42,025,64182,844052
10900,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,Lehigh County,Pennsylvania,42077,42,077,369318,844052
10900,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,Northampton County,Pennsylvania,42095,42,095,305285,844052
10940,"Alma, MI",Micropolitan Statistical Area,Gratiot County,Michigan,26057,26,057,40711,40711
10980,"Alpena, MI",Micropolitan Statistical Area,Alpena County,Michigan,26007,26,007,28405,28405
11020,"Altoona, PA",Metropolitan Statistical Area,Blair County,Pennsylvania,42013,42,013,121829,121829
11060,"Altus, OK",Micropolitan Statistical Area,Jackson County,Oklahoma,40065,40,065,24530,24530
11100,"Amarillo, TX",Metropolitan Statistical Area,Armstrong County,Texas,48011,48,011,1887,265053
11100,"Amarillo, TX",Metropolitan Statistical Area,Carson County,Texas,48065,48,065,5926,265053
11100,"Amarillo, TX",Metropolitan Statistical Area,Oldham County,Texas,48359,48,359,2112,265053
11100,"Amarillo, TX",Metropolitan Statistical Area,Potter County,Texas,48375,48,375,117415,265053
11100,"Amarillo, TX",Metropolitan Statistical Area,Randall County,Texas,48381,48,381,137713,265053
11140,"Americus, GA",Micropolitan Statistical Area,Schley County,Georgia,13249,13,249,5257,34781
11140,"Americus, GA",Micropolitan Statistical Area,Sumter County,Georgia,13261,13,261,29524,34781
11180,"Ames, IA",Metropolitan Statistical Area,Story County,Iowa,19169,19,169,97117,97117
11220,"Amsterdam, NY",Micropolitan Statistical Area,Montgomery County,New York,36057,36,057,49221,49221
11260,"Anchorage, AK",Metropolitan Statistical Area,Anchorage Municipality,Alaska,02020,02,020,288000,396317
11260,"Anchorage, AK",Metropolitan Statistical Area,Matanuska-Susitna Borough,Alaska,02170,02,170,108317,396317
11380,"Andrews, TX",Micropolitan Statistical Area,Andrews County,Texas,48003,48,003,18705,18705
11420,"Angola, IN",Micropolitan Statistical Area,Steuben County,Indiana,18151,18,151,34594,34594
11460,"Ann Arbor, MI",Metropolitan Statistical Area,Washtenaw County,Michigan,26161,26,161,367601,367601
11500,"Anniston-Oxford-Jacksonville, AL",Metropolitan Statistical Area,Calhoun County,Alabama,01015,01,015,113605,113605
11540,"Appleton, WI",Metropolitan Statistical Area,Calumet County,Wisconsin,55015,55,015,50089,237974
11540,"Appleton, WI",Metropolitan Statistical Area,Outagamie County,Wisconsin,55087,55,087,187885,237974
11580,"Arcadia, FL",Micropolitan Statistical Area,DeSoto County,Florida,12027,12,027,38001,38001
11620,"Ardmore, OK",Micropolitan Statistical Area,Carter County,Oklahoma,40019,40,019,48111,48111
11640,"Arecibo, PR",Metropolitan Statistical Area,Arecibo Municipio,Puerto Rico,72013,72,013,,
11640,"Arecibo, PR",Metropolitan Statistical Area,Camuy Municipio,Puerto Rico,72027,72,027,,
11640,"Arecibo, PR",Metropolitan Statistical Area,Hatillo Municipio,Puerto Rico,72065,72,065,,
11640,"Arecibo, PR",Metropolitan Statistical Area,Quebradillas Municipio,Puerto Rico,72115,72,115,,
11660,"Arkadelphia, AR",Micropolitan Statistical Area,Clark County,Arkansas,05019,05,019,22320,22320
11680,"Arkansas City-Winfield, KS",Micropolitan Statistical Area,Cowley County,Kansas,20035,20,035,34908,34908
11700,"Asheville, NC",Metropolitan Statistical Area,Buncombe County,North Carolina,37021,37,021,261191,462680
11700,"Asheville, NC",Metropolitan Statistical Area,Haywood County,North Carolina,37087,37,087,62317,462680
11700,"Asheville, NC",Metropolitan Statistical Area,Henderson County,North Carolina,37089,37,089,117417,462680
11700,"Asheville, NC",Metropolitan Statistical Area,Madison County,North Carolina,37115,37,115,21755,462680
11740,"Ashland, OH",Micropolitan Statistical Area,Ashland County,Ohio,39005,39,005,53484,53484
11780,"Ashtabula, OH",Micropolitan Statistical Area,Ashtabula County,Ohio,39007,39,007,97241,97241
11820,"Astoria, OR",Micropolitan Statistical Area,Clatsop County,Oregon,41007,41,007,40224,40224
11860,"Atchison, KS",Micropolitan Statistical Area,Atchison County,Kansas,20005,20,005,16073,16073
11900,"Athens, OH",Micropolitan Statistical Area,Athens County,Ohio,39009,39,009,65327,65327
11940,"Athens, TN",Micropolitan Statistical Area,McMinn County,Tennessee,47107,47,107,53794,53794
11980,"Athens, TX",Micropolitan Statistical Area,Henderson County,Texas,48213,48,213,82737,82737
12020,"Athens-Clarke County, GA",Metropolitan Statistical Area,Clarke County,Georgia,13059,13,059,128331,213750
12020,"Athens-Clarke County, GA",Metropolitan Statistical Area,Madison County,Georgia,13195,13,195,29880,213750
12020,"Athens-Clarke County, GA",Metropolitan Statistical Area,Oconee County,Georgia,13219,13,219,40280,213750
12020,"Athens-Clarke County, GA",Metropolitan Statistical Area,Oglethorpe County,Georgia,13221,13,221,15259,213750
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Barrow County,Georgia,13013,13,013,83240,6020364
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Bartow County,Georgia,13015,13,015,107738,6020364
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Butts County,Georgia,13035,13,035,24936,6020364
